vertex_count,density,algorithm,time
320,0.5,kruskal,0.022282521721499506
320,0.9,prim,0.021956106051511597
320,0.9,kruskal,0.03919518104987219
330,0.1,prim,0.003955178630421869
330,0.1,kruskal,0.005266387659648899
330,0.5,prim,0.013529766380088404
330,0.5,kruskal,0.023675212859525344
330,0.9,prim,0.023361604160454588
330,0.9,kruskal,0.04172933124849806
340,0.1,prim,0.0041537787704146465
340,0.1,kruskal,0.005608421641518362
340,0.5,prim,0.014487326879170724
340,0.5,kruskal,0.025168773490586317
340,0.9,prim,0.025218480641196948
340,0.9,kruskal,0.0446361688603065
350,0.1,prim,0.004368724990345072
350,0.1,kruskal,0.005934719211363699
350,0.5,prim,0.015397654470871203
350,0.5,kruskal,0.02661139144882327
350,0.9,prim,0.026577795070479623
350,0.9,kruskal,0.04738148506090511
360,0.1,prim,0.004576053947675973
360,0.1,kruskal,0.006297815000871196
360,0.5,prim,0.016264654199767394
360,0.5,kruskal,0.028139315319713205
360,0.9,prim,0.02830873186845565
360,0.9,kruskal,0.05038306638802169
370,0.1,prim,0.004804284068231936
370,0.1,kruskal,0.006603410671232268
370,0.5,prim,0.01728180210804567
370,0.5,kruskal,0.029764789999753703
370,0.9,prim,0.02944344590912806
370,0.9,kruskal,0.05364276819047518
380,0.1,prim,0.00505669074918842
380,0.1,kruskal,0.00701433141133748
380,0.5,prim,0.018117591641494072
380,0.5,kruskal,0.031356128578190694
380,0.9,prim,0.031090789350273554
380,0.9,kruskal,0.05719120785885025
390,0.1,prim,0.005261817742139101
390,0.1,kruskal,0.007355508719920181
390,0.5,prim,0.019375555330188945
390,0.5,kruskal,0.03323452642944176
390,0.9,prim,0.032739509310922586
390,0.9,kruskal,0.06071521561883855
400,0.1,prim,0.0055043403498712
400,0.1,kruskal,0.00775764591031475
400,0.5,prim,0.020173681148735342
400,0.5,kruskal,0.03492213333986001
400,0.9,prim,0.03457570407917956
400,0.9,kruskal,0.0643963119800901
410,0.1,prim,0.005731963653233834
410,0.1,kruskal,0.008092045001976658
410,0.5,prim,0.021358704079757443
410,0.5,kruskal,0.036608979548327626
410,0.9,prim,0.03721793958946364
410,0.9,kruskal,0.06825012888933997
420,0.1,prim,0.006012180010147858
420,0.1,kruskal,0.00852518671163125
420,0.5,prim,0.02234573090943741
420,0.5,kruskal,0.03853530406166101
420,0.9,prim,0.038397740419895854
420,0.9,kruskal,0.07216511553822784
430,0.1,prim,0.006240970160579309
430,0.1,kruskal,0.00894470688130241
430,0.5,prim,0.023478642280970234
430,0.5,kruskal,0.040639541519631166
430,0.9,prim,0.04063839306909358
430,0.9,kruskal,0.07637221419223351
440,0.1,prim,0.0064936625002883375
440,0.1,kruskal,0.009309142750280443
440,0.5,prim,0.024531220308563206
440,0.5,kruskal,0.04252350717026274
440,0.9,prim,0.042476473930873906
440,0.9,kruskal,0.08122591940773419
450,0.1,prim,0.006929808080312796
450,0.1,kruskal,0.00985466860991437
450,0.5,prim,0.0260763232698082
450,0.5,kruskal,0.04477043349848828
450,0.9,prim,0.0435574334624107
